I am using the following nodes: sn[085,113]
My job ID is: 415231
/gpfs/home/borwang
NUM CPUs 28
/gpfs/home/borwang
NUM CPUs 28
ID       Population  PopulationVariation  Compactness
1666     682730       9200                0.8277777777777777
745      697046       5116                0.7966804979253113
1461     690827       1103                0.6666666666666667
2575     684273       7657                0.5306122448979591
1638     699923       7993                0.6085106382978723
2135     692672       742                 0.6324324324324324
2642     700697       8767                0.6651162790697674
351      685943       5987                0.5561497326203209
989      692189       259                 0.7777777777777778
753      693832       1902                0.8755555555555555
1246     692393       463                 0.6859903381642511
2973     684502       7428                0.6129032258064516
2825     698987       7057                0.6616915422885572
2820     691013       917                 0.696629213483146
ID       Population  PopulationVariation  Compactness
834      685083       6847                0.8438818565400844
1205     688211       3719                0.7373271889400922
1837     694890       2960                0.6374269005847953
2978     686889       5041                0.7013888888888888
1045     692486       556                 0.7442748091603053
708      700536       8606                0.6603773584905661
1839     685645       6285                0.6235294117647059
1840     692302       372                 0.6918238993710693
2240     700728       8798                0.7410358565737052
2239     694030       2100                0.6697247706422018
1680     686218       5712                0.8201058201058201
1641     687396       4534                0.6900584795321638
1074     702029       10099               0.7723880597014925
288      690584       1346                0.75    
ID       Population  PopulationVariation  Compactness
2098     699576       7646                0.6076555023923444
2426     692701       771                 0.645320197044335
2805     700777       8847                0.75    
2804     688898       3032                0.6620689655172414
934      696169       4239                0.8613445378151261
442      685960       5970                0.8185840707964602
142      692484       554                 0.7178217821782178
193      701095       9165                0.7604790419161677
2459     688482       3448                0.6056338028169015
2937     691211       719                 0.6463414634146342
262      684016       7914                0.6049382716049383
1099     689837       2093                0.6846846846846847
628      683874       8056                0.7529411764705882
694      691947       17                  0.5963302752293578
ID       Population  PopulationVariation  Compactness
2555     690498       1432                0.5955056179775281
1700     682156       9774                0.6598360655737705
1054     700657       8727                0.5376344086021505
916      694141       2211                0.7982832618025751
2442     700179       8249                0.5625  
2935     684352       7578                0.5714285714285714
184      697029       5099                0.6565656565656566
188      681795       10135               0.6534090909090908
1926     685599       6331                0.6862745098039216
3036     697386       5456                0.5714285714285714
2859     690919       1011                0.837037037037037
2945     701469       9539                0.8208955223880597
1170     685825       6105                0.8521739130434782
956      695022       3092                0.6555023923444976
ID       Population  PopulationVariation  Compactness
321      682357       9573                0.8108108108108107
264      699321       7391                0.6574585635359116
934      699813       7883                0.85    
917      687499       4431                0.7777777777777778
921      686529       5401                0.7963800904977376
1916     691588       342                 0.7254098360655737
2119     698233       6303                0.6211453744493391
2357     687891       4039                0.8     
279      689926       2004                0.7166666666666667
2812     696693       4763                0.650887573964497
2814     690397       1533                0.595890410958904
2296     687160       4770                0.6932515337423313
509      695419       3489                0.7081081081081081
164      694201       2271                0.6785714285714286
ID       Population  PopulationVariation  Compactness
988      696471       4541                0.8327137546468402
745      691648       282                 0.8823529411764706
984      698240       6310                0.7154811715481171
1113     692765       835                 0.6608187134502924
1960     701553       9623                0.6778846153846154
2877     699636       7706                0.8225806451612903
2486     688743       3187                0.66793893129771
2605     686230       5700                0.6808510638297872
2968     688393       3537                0.8373015873015873
2272     691394       536                 0.6329113924050633
263      691892       38                  0.6927374301675977
339      684243       7687                0.5955882352941176
2718     686156       5774                0.5743589743589743
2764     689663       2267                0.7542857142857142
ID       Population  PopulationVariation  Compactness
2835     690525       1405                0.7747252747252747
861      682545       9385                0.8904109589041096
857      686037       5893                0.75    
1056     689966       1964                0.8064516129032258
252      693830       1900                0.6526315789473685
2604     683403       8527                0.6495327102803738
2605     701079       9149                0.6461538461538461
671      694487       2557                0.6802030456852792
2251     699101       7171                0.6681818181818182
541      700862       8932                0.8122270742358079
523      697515       5585                0.671957671957672
2300     693083       1153                0.7228915662650602
2328     684103       7827                0.6598984771573604
2334     690491       1439                0.7727272727272727
ID       Population  PopulationVariation  Compactness
770      691826       104                 0.8498168498168498
2595     701627       9697                0.6629213483146068
665      687720       4210                0.6590909090909092
1817     691681       249                 0.572289156626506
2693     681925       10005               0.6047430830039526
864      688187       3743                0.9140625
860      688891       3039                0.8616071428571428
1514     696918       4988                0.825136612021858
1512     692410       480                 0.6228571428571428
2972     699405       7475                0.6625  
1074     684624       7306                0.681592039800995
357      697469       5539                0.7065217391304348
2427     683316       8614                0.5533980582524272
2426     701028       9098                0.5159235668789809
ID       Population  PopulationVariation  Compactness
2098     685672       6258                0.64    
2124     688698       3232                0.6166666666666667
307      692164       234                 0.8353909465020576
2799     696628       4698                0.5818181818181818
738      681680       10250               0.7027027027027026
2874     682683       9247                0.6266666666666667
1762     697642       5712                0.826530612244898
2865     694789       2859                0.6115107913669064
694      690284       1646                0.6458333333333333
628      695868       3938                0.6453488372093024
1301     697887       5957                0.8398576512455516
1300     684939       6991                0.8815165876777251
2196     696203       4273                0.726923076923077
2077     701890       9960                0.6844660194174756
ID       Population  PopulationVariation  Compactness
1646     669604       22326               0.7513812154696132
1138     618791       73139               0.7424892703862661
1876     684319       7611                0.6319018404907976
2290     714573       22643               0.7416666666666667
1166     682684       9246                0.8859649122807017
706      731102       39172               0.7566137566137566
396      648990       42940               0.7982456140350878
395      632378       59552               0.625668449197861
2212     747024       55094               0.6428571428571428
1954     738344       46414               0.6939890710382514
