I am using the following nodes: sn[090-091]
My job ID is: 416443
/gpfs/home/borwang
NUM CPUs 28
/gpfs/home/borwang
NUM CPUs 28
ID       Population  PopulationVariation  Compactness
542      696227       4297                0.8653061224489795
1680     692552       622                 0.8963730569948186
834      695075       3145                0.8755980861244019
673      695499       3569                0.68125 
2505     688359       3571                0.6781609195402298
2232     691823       107                 0.70042194092827
1827     692009       79                  0.6342857142857143
2694     690308       1622                0.6334841628959276
2695     691890       40                  0.630057803468208
2895     687329       4601                0.6917808219178082
1104     692724       794                 0.5705128205128205
971      693651       1721                0.7804878048780488
918      688914       3016                0.7729257641921398
953      690667       1263                0.6524064171122994
All clusters acceptable after: 240 iterations.
ID       Population  PopulationVariation  Compactness
281      688010       3920                0.8072727272727273
753      688650       3280                0.875   
989      693772       1842                0.7025641025641025
1485     690322       1608                0.7005649717514124
1484     693172       1242                0.6176470588235294
2325     691288       642                 0.783068783068783
2340     696986       5056                0.5533333333333333
2194     692022       92                  0.7181818181818183
447      691912       18                  0.8319327731092436
396      692346       416                 0.7621359223300971
2040     688914       3016                0.6666666666666667
2037     694856       2926                0.6342857142857143
1520     690916       1014                0.7543859649122807
1519     693861       1931                0.6322580645161291
All clusters acceptable after: 207 iterations.
ID       Population  PopulationVariation  Compactness
2817     688060       3870                0.7159763313609467
2095     695535       3605                0.7889447236180904
1805     694551       2621                0.7346938775510203
2964     691756       174                 0.8346774193548387
734      696895       4965                0.7053571428571428
2795     686969       4961                0.6145251396648045
820      696942       5012                0.8227272727272728
1291     690189       1741                0.6288659793814433
2121     687641       4289                0.599078341013825
2123     690962       968                 0.6     
2978     691685       245                 0.553072625698324
1500     692352       422                 0.6124031007751938
664      689103       2827                0.8075313807531381
564      694387       2457                0.75    
All clusters acceptable after: 255 iterations.
ID       Population  PopulationVariation  Compactness
647      689594       2336                0.6583850931677019
1040     693588       1658                0.5815217391304348
113      692230       300                 0.728448275862069
2018     689088       2842                0.6683168316831682
943      696799       4869                0.7330508474576272
2262     696750       4820                0.7417582417582418
754      689686       2244                0.863013698630137
1967     691302       628                 0.6743119266055047
1646     694185       2255                0.8333333333333334
934      688092       3838                0.8478260869565217
933      693677       1747                0.7622950819672132
1424     690976       954                 0.6013071895424836
1828     687767       4163                0.6167664670658682
1827     693293       1363                0.6439393939393939
All clusters acceptable after: 292 iterations.
ID       Population  PopulationVariation  Compactness
1504     688326       3604                0.6442953020134228
2968     693037       1107                0.7085427135678393
264      694604       2674                0.6094674556213018
2164     688462       3468                0.7163461538461539
492      695865       3935                0.6111111111111112
493      689552       2378                0.6341463414634146
1044     694190       2260                0.6985645933014354
1770     690792       1138                0.8191489361702128
1766     691838       92                  0.6488095238095238
729      689384       2546                0.8     
947      693388       1458                0.7964912280701755
784      690353       1577                0.8986175115207373
1942     696271       4341                0.6205357142857143
1943     690965       965                 0.7239583333333333
All clusters acceptable after: 315 iterations.
ID       Population  PopulationVariation  Compactness
1475     690068       1862                0.8157894736842105
1938     696618       4688                0.5956284153005464
2970     690115       1815                0.6482758620689655
686      694770       2840                0.5714285714285714
147      692370       440                 0.6740331491712708
2009     689130       2800                0.6334841628959276
1896     692720       790                 0.5403726708074534
1148     694244       2314                0.7807692307692308
1144     691501       429                 0.8942731277533039
2113     688332       3598                0.71    
2098     690589       1341                0.615819209039548
304      696838       4908                0.8977272727272727
2897     690536       1394                0.6616161616161615
2906     689196       2734                0.6878306878306879
All clusters acceptable after: 223 iterations.
ID       Population  PopulationVariation  Compactness
1433     692530       600                 0.6891891891891893
1475     694466       2536                0.6141732283464567
755      691016       914                 0.8727272727272728
2502     686905       5025                0.6951219512195121
2526     687374       4556                0.6705202312138728
2566     696977       5047                0.5864197530864197
1102     694416       2486                0.7459016393442623
1109     696496       4566                0.6424870466321244
1680     686752       5178                0.7873563218390804
1704     695673       3743                0.6809815950920246
2205     694159       2229                0.7530864197530864
2207     690048       1882                0.6650717703349283
1153     688379       3551                0.7749077490774907
1166     691836       94                  0.6255506607929515
All clusters acceptable after: 231 iterations.
ID       Population  PopulationVariation  Compactness
3004     695361       3431                0.7341040462427746
2171     694889       2959                0.7041666666666666
2081     688146       3784                0.6902173913043479
2622     690951       979                 0.6946902654867257
571      688506       3424                0.8514056224899599
581      693981       2051                0.7096774193548387
36       696889       4959                0.8178294573643411
2428     692902       972                 0.6285714285714286
1692     693613       1683                0.6594594594594594
1680     688803       3127                0.6358381502890174
745      691311       619                 0.6769911504424779
316      687094       4836                0.8711111111111112
2590     692968       1038                0.5895953757225434
2581     691613       317                 0.6298701298701299
All clusters acceptable after: 254 iterations.
ID       Population  PopulationVariation  Compactness
2173     687320       4610                0.6759776536312849
2261     693902       1972                0.7411167512690355
2685     687980       3950                0.73109243697479
2894     693756       1826                0.650887573964497
147      692054       124                 0.7370892018779343
2064     692247       317                 0.6265060240963856
771      690494       1436                0.6820276497695852
1052     690881       1049                0.695906432748538
919      695313       3383                0.6795366795366795
920      687773       4157                0.819672131147541
2834     696536       4606                0.7969543147208122
2835     696344       4414                0.43442622950819676
36       689416       2514                0.8431372549019608
267      693011       1081                0.5393939393939393
All clusters acceptable after: 225 iterations.
ID       Population  PopulationVariation  Compactness
2623     689857       2073                0.5930232558139534
265      697059       5129                0.6720647773279352
2132     686878       5052                0.7125748502994012
540      695277       3347                0.6311111111111112
643      696137       4207                0.6590909090909092
1961     690995       935                 0.6276595744680851
860      686804       5126                0.8521739130434782
