I am using the following nodes: cn[070-071]
My job ID is: 418106
/gpfs/home/borwang
NUM CPUs 24
/gpfs/home/borwang
NUM CPUs 24
ID       Population  PopulationVariation  Compactness
755      708679       16749               0.7916666666666666
2797     703058       11128               0.6861313868613139
1778     679164       12766               0.6432432432432432
2486     689695       2235                0.6954022988505747
945      689835       2095                0.7607142857142857
997      693610       1680                0.8609865470852018
2832     696399       4469                0.7027027027027026
345      693828       1898                0.7903225806451613
2838     678057       13873               0.7485029940119761
1525     693177       1247                0.46308724832214765
265      698166       6236                0.7136752136752137
1074     680965       10965               0.5700000000000001
2342     697829       5899                0.6697247706422018
2344     684565       7365                0.6728971962616823
ID       Population  PopulationVariation  Compactness
2606     687022       4908                0.6275862068965516
748      705408       13478               0.8346153846153846
1632     675275       16655               0.654320987654321
2914     684745       7185                0.8404669260700389
933      702892       10962               0.7702702702702703
1502     685236       6694                0.6864864864864865
1961     697129       5199                0.7865168539325843
1969     704412       12482               0.6442953020134228
711      680052       11878               0.655   
717      680389       11541               0.6421052631578947
2120     697651       5721                0.7651821862348178
2012     705696       13766               0.6143497757847534
2966     703452       11522               0.7202072538860104
38       677668       14262               0.6022099447513812
ID       Population  PopulationVariation  Compactness
2130     709007       17077               0.6269430051813472
1470     678695       13235               0.8555555555555556
2995     707122       15192               0.6234567901234568
80       689163       2767                0.6086956521739131
2196     705855       13925               0.5741626794258373
2212     674999       16931               0.6598984771573604
628      686799       5131                0.5240963855421688
1009     682315       9615                0.7881040892193308
1888     705418       13488               0.6376811594202898
2449     682440       9490                0.6439393939393939
1152     678920       13010               0.65625 
1161     707043       15113               0.8654708520179373
530      675919       16011               0.8844621513944223
549      703332       11402               0.7383720930232558
ID       Population  PopulationVariation  Compactness
2103     691619       311                 0.725   
2305     675361       16569               0.759090909090909
2833     696818       4888                0.8212290502793296
713      678479       13451               0.6844919786096257
708      708813       16883               0.6098901098901099
2535     680604       11326               0.6549707602339181
2536     696590       4660                0.6397058823529411
1138     708717       16787               0.8089887640449438
864      685463       6467                0.8709677419354839
860      706398       14468               0.9017094017094017
2557     696219       4289                0.6910112359550562
1895     679496       12434               0.6114285714285714
992      690889       1041                0.6712328767123288
925      691561       369                 0.7371794871794872
ID       Population  PopulationVariation  Compactness
1700     681351       10579               0.6818181818181819
1703     696045       4115                0.8305084745762712
668      705170       13240               0.8644688644688645
